Student_ID,Student_Name,College_Name,Total_Sessions,Sessions_Attended,Average_Attendance_Minutes,Attendance_Percentage,Attendance_Std,Consistency_Score,Domain_Participation_Count,Engagement_Score,Certified,Predicted_Certified
ST0041,Anil Singh,Aditya Engineering,40,22,27.88,55.0,25.75,74.25,1,54.78,0,0
ST0043,Vikram Reddy,CMR College,40,25,32.22,62.5,25.54,74.46,1,58.59,0,0
ST0044,Jay Gupta,SRM AP,40,22,28.45,55.0,26.31,73.69,1,54.61,0,0
ST0045,Keerthana Patel,JNTUK,40,26,34.12,65.0,25.63,74.37,1,59.81,0,0
ST0047,Sanjay Gupta,Narasaraopeta Engg,40,29,38.6,72.5,24.32,75.68,1,63.95,0,0
ST0051,Rohit Yadav,JNTUH,40,23,30.2,57.5,26.54,73.46,1,55.79,0,0
ST0052,Divya Kumar,KL University,40,26,34.2,65.0,25.68,74.32,1,59.8,0,0
ST0053,Pooja Sharma,NRI Institute,40,25,32.22,62.5,25.57,74.43,1,58.58,0,0
ST0054,Vikram Naidu,JNTUK,40,30,39.95,75.0,23.61,76.39,1,65.42,0,0
ST0057,Divya Singh,RGUKT,40,29,38.78,72.5,24.56,75.44,1,63.88,0,0
ST0058,Akhil Naidu,ANITS,40,26,34.7,65.0,26.08,73.92,1,59.68,0,0
ST0062,Rohit Verma,KITS,40,28,36.42,70.0,24.54,75.46,1,62.64,0,0
ST0063,Keerthana Patel,Gudlavalleru Engg,40,23,29.1,57.5,25.71,74.29,1,56.04,0,0
ST0064,Pooja Reddy,VNR VJIET,40,27,35.1,67.5,24.93,75.07,1,61.27,0,0
ST0068,Divya Sharma,SRM AP,40,20,26.75,50.0,27.27,72.73,1,51.82,0,0
ST0070,Harsha Reddy,MREC,40,27,34.52,67.5,24.54,75.46,1,61.39,0,0
ST0073,Sai Yadav,Malla Reddy,40,29,39.3,72.5,24.79,75.21,1,63.81,0,0
ST0075,Teja Yadav,Narasaraopeta Engg,40,30,39.33,75.0,23.35,76.65,1,65.5,0,0
ST0077,Anil Naidu,RVRJC,40,31,41.32,77.5,22.85,77.15,1,66.89,0,0
ST0081,Sanjay Patel,KL University,40,16,21.12,40.0,26.33,73.67,1,47.1,0,0
ST0084,Sanjay Gupta,AEC,40,16,20.82,40.0,25.98,74.02,1,47.21,0,0
ST0085,Rohit Sharma,RVRJC,40,26,34.65,65.0,26.02,73.98,1,59.69,0,0
ST0087,Teja Reddy,Malla Reddy,40,31,40.95,77.5,22.77,77.23,1,66.92,0,0
ST0089,Kiran Kumar,ANITS,40,26,34.2,65.0,25.65,74.35,1,59.81,0,0
ST0090,Praveen Gupta,Prasad V Potluri,40,27,34.85,67.5,24.82,75.18,1,61.3,0,0
ST0091,Harsha Patel,KL University,40,28,37.12,70.0,24.82,75.18,1,62.55,0,0
ST0094,Teja Verma,Narasaraopeta Engg,40,29,37.62,72.5,23.8,76.2,1,64.11,0,0
ST0098,Varun Verma,Gudlavalleru Engg,40,31,39.98,77.5,22.17,77.83,1,67.1,0,0
ST0099,Arjun Naidu,JNTUH,40,19,24.38,47.5,26.15,73.85,1,50.91,0,0
ST0100,Sanjay Patel,ANITS,40,22,30.22,55.0,27.83,72.17,1,54.15,0,0
ST0107,Nikhil Patel,ANITS,40,18,23.65,45.0,26.58,73.42,1,49.52,0,0
ST0109,Nikhil Patel,SRM AP,40,31,41.0,77.5,22.68,77.32,1,66.95,0,0
ST0111,Arjun Patel,GITAM,40,31,40.88,77.5,22.61,77.39,1,66.97,0,0
ST0112,Vikram Verma,LBRCE,40,21,27.68,52.5,26.83,73.17,1,53.2,0,0
ST0114,Arjun Naidu,Malla Reddy,40,27,36.1,67.5,25.64,74.36,1,61.06,0,0
ST0115,Arjun Singh,CBIT,40,25,33.6,62.5,26.55,73.45,1,58.28,0,0
ST0116,Sanjay Rao,Andhra Loyola,40,26,34.83,65.0,26.14,73.86,1,59.66,0,0
ST0117,Jay Patel,KL University,40,23,31.18,57.5,27.34,72.66,1,55.55,0,0
ST0118,Rahul Rao,Narasaraopeta Engg,40,31,40.3,77.5,22.39,77.61,1,67.03,0,0
ST0119,Arjun Naidu,Malla Reddy,40,29,38.25,72.5,24.22,75.78,1,63.98,0,0
ST0120,Pooja Gupta,NRI Institute,40,28,36.5,70.0,24.6,75.4,1,62.62,0,0
ST0122,Praveen Reddy,VNR VJIET,40,28,36.55,70.0,24.65,75.35,1,62.6,0,0
ST0124,Keerthana Kumar,CBIT,40,31,40.5,77.5,22.49,77.51,1,67.0,0,0
ST0125,Nikhil Naidu,RVRJC,40,25,32.9,62.5,26.11,73.89,1,58.42,0,0
ST0126,Rahul Patel,Gudlavalleru Engg,40,17,22.92,42.5,27.18,72.82,1,48.09,0,0
ST0127,Sanjay Kumar,Malla Reddy,40,24,32.55,60.0,27.13,72.87,1,56.86,0,0
ST0128,Sanjay Singh,Gudlavalleru Engg,40,27,36.48,67.5,25.94,74.06,1,60.97,0,0
ST0134,Rohit Kumar,Malla Reddy,40,25,32.6,62.5,25.87,74.13,1,58.49,0,0
ST0135,Vikram Verma,RVRJC,40,21,28.48,52.5,27.64,72.36,1,52.96,0,0
ST0136,Akhil Verma,CBIT,40,31,40.75,77.5,22.6,77.4,1,66.97,0,0
ST0138,Sanjay Gupta,ANITS,40,29,38.2,72.5,24.17,75.83,1,64.0,0,0
ST0141,Keerthana Naidu,JNTUK,40,28,37.75,70.0,25.33,74.67,1,62.4,0,0
ST0142,Pooja Rao,SRM AP,40,30,39.33,75.0,23.33,76.67,1,65.5,0,0
ST0145,Varun Verma,KITS,40,20,25.38,50.0,25.9,74.1,1,52.23,0,0
ST0146,Varun Reddy,Gudlavalleru Engg,40,29,38.5,72.5,24.26,75.74,1,63.97,0,0
ST0147,Anil Sharma,KITS,40,29,37.35,72.5,23.74,76.26,1,64.13,0,0
ST0149,Pooja Kumar,Gudlavalleru Engg,40,27,36.15,67.5,25.66,74.34,1,61.05,0,0
ST0155,Varun Verma,VIT AP,40,20,26.12,50.0,26.63,73.37,1,52.01,0,0
ST0158,Teja Kumar,Prasad V Potluri,40,25,32.72,62.5,25.88,74.12,1,58.48,0,0
ST0159,Divya Naidu,KITS,40,28,36.95,70.0,24.76,75.24,1,62.57,0,0
ST0160,Pooja Yadav,VNR VJIET,40,31,40.9,77.5,22.68,77.32,1,66.94,0,0
ST0162,Divya Yadav,Prasad V Potluri,40,29,39.3,72.5,24.75,75.25,1,63.82,0,0
ST0163,Teja Reddy,ANITS,40,24,30.9,60.0,25.87,74.13,1,57.24,0,0
ST0164,Harsha Sharma,GITAM,40,26,34.45,65.0,25.91,74.09,1,59.73,0,0
ST0165,Pooja Singh,LBRCE,40,31,39.95,77.5,22.15,77.85,1,67.1,0,0
ST0167,Rahul Yadav,ANITS,40,31,40.33,77.5,22.29,77.71,1,67.06,0,0
ST0175,Arjun Reddy,LBRCE,40,28,37.72,70.0,25.36,74.64,1,62.39,0,0
ST0176,Keerthana Gupta,JNTUH,40,24,31.98,60.0,26.62,73.38,1,57.01,0,0
ST0177,Rahul Gupta,MREC,40,31,40.7,77.5,22.67,77.33,1,66.95,0,0
ST0178,Sanjay Reddy,Bapatla Engg,40,28,37.78,70.0,25.4,74.6,1,62.38,0,0
ST0182,Rahul Rao,VVIT,40,22,28.82,55.0,26.69,73.31,1,54.49,0,0
ST0185,Nikhil Reddy,Gudlavalleru Engg,40,30,39.72,75.0,23.54,76.46,1,65.44,0,0
ST0187,Praveen Kumar,VVIT,40,30,40.65,75.0,24.11,75.89,1,65.27,0,0
ST0193,Akhil Verma,RGUKT,40,31,40.8,77.5,22.61,77.39,1,66.97,0,0
ST0195,Harsha Gupta,RGUKT,40,30,39.28,75.0,23.34,76.66,1,65.5,0,0
ST0205,Vikram Kumar,KITS,40,29,37.9,72.5,24.04,75.96,1,64.04,0,0
ST0206,Keerthana Singh,ANITS,40,28,37.48,70.0,25.17,74.83,1,62.45,0,0
ST0207,Vikram Yadav,Gudlavalleru Engg,40,31,40.85,77.5,22.76,77.24,1,66.92,0,0
ST0213,Anil Rao,AEC,40,30,38.75,75.0,23.06,76.94,1,65.58,0,0
ST0214,Rahul Reddy,GITAM,40,28,37.17,70.0,24.99,75.01,1,62.5,0,0
ST0219,Sai Verma,Bapatla Engg,40,30,39.25,75.0,23.25,76.75,1,65.52,0,0
ST0221,Rohit Yadav,Aditya Engineering,40,31,40.5,77.5,22.5,77.5,1,67.0,0,0
ST0223,Divya Singh,VIT AP,40,23,29.62,57.5,26.0,74.0,1,55.95,0,0
ST0224,Arjun Gupta,MREC,40,25,32.55,62.5,25.69,74.31,1,58.54,0,0
ST0226,Arjun Naidu,Malla Reddy,40,29,38.6,72.5,24.32,75.68,1,63.95,0,0
ST0229,Nikhil Naidu,MREC,40,29,38.25,72.5,24.21,75.79,1,63.99,0,0
ST0230,Varun Naidu,MREC,40,29,39.38,72.5,24.9,75.1,1,63.78,0,0
ST0231,Sanjay Verma,AEC,40,13,17.45,32.5,25.57,74.43,1,43.58,0,0
ST0234,Arjun Rao,Gudlavalleru Engg,40,27,35.35,67.5,25.14,74.86,1,61.21,0,0
ST0236,Teja Patel,Malla Reddy,40,29,38.33,72.5,24.24,75.76,1,63.98,0,0
ST0237,Rahul Naidu,KL University,40,26,33.65,65.0,25.28,74.72,1,59.92,0,0
ST0246,Rohit Verma,VNR VJIET,40,24,31.5,60.0,26.3,73.7,1,57.11,0,0
ST0249,Varun Sharma,KL University,40,22,28.72,55.0,26.6,73.4,1,54.52,0,0
ST0250,Keerthana Sharma,LBRCE,40,29,37.88,72.5,23.93,76.07,1,64.07,0,0
ST0251,Kiran Kumar,JNTUH,40,29,38.1,72.5,24.14,75.86,1,64.01,0,0
ST0252,Anil Patel,CBIT,40,26,34.42,65.0,25.83,74.17,1,59.75,0,0
ST0254,Harsha Sharma,KL University,40,24,31.08,60.0,25.95,74.05,1,57.21,0,0
ST0255,Rahul Singh,VIT AP,40,28,36.15,70.0,24.26,75.74,1,62.72,0,0
ST0258,Rahul Sharma,JNTUH,40,31,40.12,77.5,22.3,77.7,1,67.06,0,0
ST0261,Kiran Patel,KITS,40,29,38.72,72.5,24.47,75.53,1,63.91,0,0
ST0262,Sai Singh,KITS,40,27,35.92,67.5,25.49,74.51,1,61.1,0,0
ST0265,Arjun Naidu,NRI Institute,40,31,40.65,77.5,22.51,77.49,1,67.0,0,0
ST0266,Rahul Gupta,VNR VJIET,40,29,39.65,72.5,24.95,75.05,1,63.76,0,0
ST0271,Varun Gupta,Aditya Engineering,40,14,18.42,35.0,25.58,74.42,1,44.83,0,0
ST0272,Sai Yadav,Andhra Loyola,40,31,41.12,77.5,22.89,77.11,1,66.88,0,0
ST0273,Anil Kumar,AEC,40,29,37.5,72.5,23.7,76.3,1,64.14,0,0
ST0274,Rohit Gupta,Bapatla Engg,40,28,37.85,70.0,25.31,74.69,1,62.41,0,0
ST0275,Pooja Sharma,MREC,40,28,37.28,70.0,25.02,74.98,1,62.5,0,0
ST0276,Sai Yadav,KITS,40,24,31.3,60.0,26.18,73.82,1,57.15,0,0
ST0279,Harsha Singh,VVIT,40,29,38.55,72.5,24.39,75.61,1,63.93,0,0
ST0283,Rahul Verma,Narasaraopeta Engg,40,20,25.52,50.0,26.08,73.92,1,52.18,0,0
ST0287,Divya Patel,NRI Institute,40,23,30.38,57.5,26.66,73.34,1,55.75,0,0
ST0288,Nikhil Singh,NRI Institute,40,30,39.25,75.0,23.3,76.7,1,65.51,0,0
ST0289,Nikhil Sharma,GITAM,40,22,29.25,55.0,27.01,72.99,1,54.4,0,0
ST0290,Sai Singh,CMR College,40,23,29.35,57.5,25.78,74.22,1,56.01,0,0
ST0294,Praveen Yadav,VNR VJIET,40,24,32.2,60.0,26.89,73.11,1,56.93,0,0
ST0297,Varun Gupta,VIT AP,40,31,40.7,77.5,22.54,77.46,1,66.99,0,0
ST0298,Sai Singh,Malla Reddy,40,26,34.72,65.0,26.08,73.92,1,59.68,0,0
ST0299,Arjun Yadav,KL University,40,29,38.28,72.5,24.23,75.77,1,63.98,0,0
ST0301,Arjun Singh,Aditya Engineering,40,28,36.22,70.0,24.28,75.72,1,62.72,0,0
ST0305,Varun Reddy,RGUKT,40,22,29.7,55.0,27.46,72.54,1,54.26,0,0
ST0308,Nikhil Verma,Malla Reddy,40,25,32.17,62.5,25.53,74.47,1,58.59,0,0
ST0310,Akhil Verma,Aditya Engineering,40,31,41.05,77.5,22.69,77.31,1,66.94,0,0
ST0315,Kiran Verma,Prasad V Potluri,40,29,38.35,72.5,24.3,75.7,1,63.96,0,0
ST0318,Divya Sharma,RGUKT,40,31,41.3,77.5,22.95,77.05,1,66.87,0,0
ST0320,Kiran Rao,KITS,40,26,33.72,65.0,25.29,74.71,1,59.91,0,0
ST0324,Anil Rao,Andhra Loyola,40,31,40.95,77.5,22.77,77.23,1,66.92,0,0
ST0326,Kiran Naidu,KL University,40,27,35.78,67.5,25.38,74.62,1,61.14,0,0
ST0328,Rohit Gupta,CBIT,40,31,40.4,77.5,22.31,77.69,1,67.06,0,0
ST0331,Divya Reddy,CBIT,40,19,24.9,47.5,26.74,73.26,1,50.73,0,0
ST0332,Akhil Yadav,RVRJC,40,29,37.08,72.5,23.53,76.47,1,64.19,0,0
ST0335,Arjun Verma,NRI Institute,40,26,34.62,65.0,25.96,74.04,1,59.71,0,0
ST0336,Sai Singh,Narasaraopeta Engg,40,31,42.1,77.5,23.29,76.71,1,66.76,0,0
ST0337,Jay Verma,RGUKT,40,29,37.78,72.5,23.94,76.06,1,64.07,0,0
ST0342,Vikram Yadav,GITAM,40,30,39.62,75.0,23.35,76.65,1,65.49,0,0
ST0344,Kiran Patel,JNTUK,40,25,33.02,62.5,26.14,73.86,1,58.41,0,0
ST0346,Teja Yadav,CBIT,40,25,31.55,62.5,25.03,74.97,1,58.74,0,0
ST0351,Arjun Reddy,MREC,40,25,33.3,62.5,26.44,73.56,1,58.32,0,0
ST0352,Nikhil Reddy,LBRCE,40,24,31.3,60.0,26.1,73.9,1,57.17,0,0
ST0353,Teja Yadav,MREC,40,25,33.05,62.5,26.18,73.82,1,58.39,0,0
ST0354,Vikram Verma,CMR College,40,24,32.17,60.0,26.89,73.11,1,56.93,0,0
ST0357,Sanjay Reddy,Aditya Engineering,40,30,39.92,75.0,23.67,76.33,1,65.4,0,0
ST0360,Divya Yadav,KL University,40,14,19.1,35.0,26.47,73.53,1,44.56,0,0
ST0367,Rohit Gupta,RGUKT,40,27,35.52,67.5,25.16,74.84,1,61.2,0,0
ST0369,Varun Naidu,CMR College,40,31,40.72,77.5,22.52,77.48,1,66.99,0,0
ST0371,Anil Reddy,Prasad V Potluri,40,20,26.15,50.0,26.65,73.35,1,52.0,0,0
ST0374,Arjun Kumar,KL University,40,19,24.4,47.5,26.12,73.88,1,50.91,0,0
ST0375,Arjun Yadav,CMR College,40,31,39.85,77.5,22.12,77.88,1,67.11,0,0
ST0378,Sanjay Verma,AEC,40,29,38.0,72.5,24.0,76.0,1,64.05,0,0
ST0382,Kiran Rao,JNTUH,40,23,30.22,57.5,26.52,73.48,1,55.79,0,0
ST0384,Vikram Gupta,JNTUK,40,29,37.7,72.5,23.82,76.18,1,64.1,0,0
ST0385,Pooja Rao,Malla Reddy,40,30,39.83,75.0,23.69,76.31,1,65.39,0,0
ST0386,Arjun Naidu,SRM AP,40,25,32.6,62.5,25.85,74.15,1,58.5,0,0
ST0388,Anil Verma,Prasad V Potluri,40,29,37.83,72.5,23.97,76.03,1,64.06,0,0
ST0389,Kiran Reddy,VNR VJIET,40,16,20.88,40.0,26.03,73.97,1,47.19,0,0
ST0392,Anil Gupta,Bapatla Engg,40,24,31.98,60.0,26.63,73.37,1,57.01,0,0
ST0393,Divya Rao,VIT AP,40,19,24.78,47.5,26.58,73.42,1,50.78,0,0
ST0401,Nikhil Singh,Andhra Loyola,40,21,27.7,52.5,26.92,73.08,1,53.17,0,0
ST0404,Varun Yadav,Andhra Loyola,40,31,41.1,77.5,22.82,77.18,1,66.91,0,0
ST0405,Rohit Verma,Prasad V Potluri,40,19,25.72,47.5,27.56,72.44,1,50.48,0,0
ST0407,Vikram Yadav,Andhra Loyola,40,31,40.3,77.5,22.41,77.59,1,67.03,0,0
ST0408,Pooja Gupta,Prasad V Potluri,40,27,35.75,67.5,25.4,74.6,1,61.13,0,0
ST0409,Divya Reddy,Narasaraopeta Engg,40,27,35.25,67.5,25.06,74.94,1,61.23,0,0
ST0411,Jay Sharma,RGUKT,40,24,31.4,60.0,26.25,73.75,1,57.13,0,0
ST0412,Sanjay Patel,Aditya Engineering,40,26,33.08,65.0,24.82,75.18,1,60.05,0,0
ST0413,Arjun Sharma,VVIT,40,24,31.8,60.0,26.57,73.43,1,57.03,0,0
ST0416,Sanjay Reddy,Aditya Engineering,40,28,35.55,70.0,23.87,76.13,1,62.84,0,0
ST0421,Jay Yadav,Narasaraopeta Engg,40,19,25.12,47.5,26.91,73.09,1,50.68,0,0
ST0424,Harsha Reddy,SRM AP,40,29,38.85,72.5,24.54,75.46,1,63.89,0,0
ST0425,Teja Reddy,Narasaraopeta Engg,40,29,37.25,72.5,23.55,76.45,1,64.18,0,0
ST0426,Rahul Naidu,NRI Institute,40,16,21.32,40.0,26.57,73.43,1,47.03,0,0
ST0428,Nikhil Sharma,Aditya Engineering,40,30,40.12,75.0,23.84,76.16,1,65.35,0,0
ST0429,Kiran Kumar,ANITS,40,13,16.88,32.5,24.79,75.21,1,43.81,0,0
ST0434,Varun Yadav,CMR College,40,30,39.85,75.0,23.66,76.34,1,65.4,0,0
ST0435,Jay Patel,KL University,40,26,35.1,65.0,26.3,73.7,1,59.61,0,0
ST0436,Anil Patel,JNTUH,40,23,30.1,57.5,26.51,73.49,1,55.8,0,0
ST0438,Kiran Verma,CBIT,40,25,32.98,62.5,26.09,73.91,1,58.42,0,0
ST0442,Jay Rao,SRM AP,40,28,36.98,70.0,24.85,75.15,1,62.54,0,0
ST0443,Akhil Gupta,Aditya Engineering,40,25,33.38,62.5,26.4,73.6,1,58.33,0,0
ST0445,Anil Kumar,JNTUK,40,28,36.62,70.0,24.61,75.39,1,62.62,0,0
ST0448,Jay Yadav,Bapatla Engg,40,27,36.2,67.5,25.75,74.25,1,61.03,0,0
ST0452,Keerthana Singh,MREC,40,24,30.88,60.0,25.9,74.1,1,57.23,0,0
ST0461,Arjun Reddy,Prasad V Potluri,40,31,40.5,77.5,22.45,77.55,1,67.02,0,0
ST0462,Kiran Gupta,RGUKT,40,31,40.75,77.5,22.57,77.43,1,66.98,0,0
ST0463,Kiran Kumar,Narasaraopeta Engg,40,31,40.8,77.5,22.51,77.49,1,67.0,0,0
ST0464,Anil Patel,Prasad V Potluri,40,26,34.58,65.0,26.04,73.96,1,59.69,0,0
ST0465,Kiran Gupta,VIT AP,40,28,35.85,70.0,23.96,76.04,1,62.81,0,0
ST0466,Divya Yadav,LBRCE,40,29,38.2,72.5,24.12,75.88,1,64.01,0,0
ST0467,Arjun Reddy,Andhra Loyola,40,28,36.4,70.0,24.48,75.52,1,62.66,0,0
ST0473,Pooja Gupta,Aditya Engineering,40,25,32.6,62.5,25.81,74.19,1,58.51,0,0
ST0474,Rahul Reddy,GITAM,40,27,35.12,67.5,24.92,75.08,1,61.28,0,0
ST0476,Sai Kumar,KITS,40,31,39.6,77.5,21.87,78.13,1,67.19,0,0
ST0477,Arjun Rao,SRM AP,40,26,34.62,65.0,25.99,74.01,1,59.7,0,0
ST0479,Vikram Verma,Bapatla Engg,40,7,9.28,17.5,20.45,79.55,1,37.61,0,0
ST0481,Divya Reddy,VIT AP,40,29,36.85,72.5,23.42,76.58,1,64.22,0,0
ST0484,Pooja Verma,Andhra Loyola,40,28,36.0,70.0,24.22,75.78,1,62.74,0,0
ST0485,Rahul Kumar,Bapatla Engg,40,31,40.2,77.5,22.31,77.69,1,67.06,0,0
ST0486,Akhil Rao,Malla Reddy,40,28,37.02,70.0,24.91,75.09,1,62.53,0,0
ST0488,Vikram Naidu,KITS,40,23,30.35,57.5,26.74,73.26,1,55.73,0,0
ST0491,Keerthana Kumar,GITAM,40,24,31.32,60.0,26.14,73.86,1,57.16,0,0
ST0493,Rahul Kumar,Gudlavalleru Engg,40,26,34.7,65.0,25.97,74.03,1,59.71,0,0
ST0494,Arjun Yadav,Bapatla Engg,40,28,36.25,70.0,24.3,75.7,1,62.71,0,0
ST0498,Anil Kumar,ANITS,40,30,38.98,75.0,23.14,76.86,1,65.56,0,0
ST0500,Anil Patel,ANITS,40,23,29.28,57.5,25.68,74.32,1,56.05,0,0
ST0501,Pooja Yadav,ANITS,40,30,39.28,75.0,23.28,76.72,1,65.52,0,0
ST0502,Keerthana Patel,JNTUK,40,23,31.3,57.5,27.37,72.63,1,55.54,0,0
ST0503,Keerthana Verma,SRM AP,40,27,35.55,67.5,25.3,74.7,1,61.16,0,0
ST0506,Sanjay Sharma,Malla Reddy,40,28,36.25,70.0,24.38,75.62,1,62.68,0,0
ST0516,Kiran Yadav,Prasad V Potluri,40,28,36.52,70.0,24.56,75.44,1,62.63,0,0
ST0519,Keerthana Rao,ANITS,40,16,20.65,40.0,25.79,74.21,1,47.26,0,0
ST0521,Jay Reddy,Aditya Engineering,40,31,40.8,77.5,22.54,77.46,1,66.99,0,0
ST0522,Varun Sharma,CMR College,40,29,38.7,72.5,24.38,75.62,1,63.94,0,0
ST0534,Harsha Singh,VVIT,40,21,27.55,52.5,26.85,73.15,1,53.2,0,0
ST0535,Rahul Patel,Bapatla Engg,40,28,37.1,70.0,24.98,75.02,1,62.51,0,0
ST0537,Anil Rao,CMR College,40,19,26.4,47.5,28.23,71.77,1,50.28,0,0
ST0539,Rahul Reddy,Prasad V Potluri,40,16,21.0,40.0,26.23,73.77,1,47.13,0,0
ST0540,Teja Naidu,CMR College,40,28,37.25,70.0,24.99,75.01,1,62.5,0,0
ST0541,Harsha Kumar,Narasaraopeta Engg,40,27,34.95,67.5,24.81,75.19,1,61.31,0,0
ST0542,Jay Reddy,LBRCE,40,27,36.5,67.5,25.88,74.12,1,60.99,0,0
ST0545,Teja Sharma,VVIT,40,31,42.05,77.5,23.34,76.66,1,66.75,0,0
ST0550,Anil Kumar,CBIT,40,28,36.0,70.0,24.15,75.85,1,62.75,0,0
ST0558,Vikram Rao,KITS,40,23,30.65,57.5,26.84,73.16,1,55.7,0,0
ST0560,Harsha Patel,RGUKT,40,25,33.2,62.5,26.34,73.66,1,58.35,0,0
ST0565,Sai Singh,ANITS,40,30,39.58,75.0,23.54,76.46,1,65.44,0,0
ST0566,Sanjay Singh,RGUKT,40,25,32.15,62.5,25.51,74.49,1,58.6,0,0
ST0569,Harsha Singh,Aditya Engineering,40,20,24.92,50.0,25.47,74.53,1,52.36,0,0
ST0572,Nikhil Verma,Aditya Engineering,40,26,34.72,65.0,26.07,73.93,1,59.68,0,0
ST0573,Keerthana Sharma,VNR VJIET,40,29,39.0,72.5,24.69,75.31,1,63.84,0,0
ST0575,Pooja Rao,MREC,40,30,40.75,75.0,24.11,75.89,1,65.27,0,0
ST0577,Varun Yadav,LBRCE,40,30,40.75,75.0,24.07,75.93,1,65.28,0,0
ST0581,Pooja Naidu,Andhra Loyola,40,31,39.33,77.5,21.79,78.21,1,67.21,0,0
ST0584,Harsha Gupta,Bapatla Engg,40,22,29.48,55.0,27.19,72.81,1,54.34,0,0
ST0591,Arjun Verma,VNR VJIET,40,28,36.98,70.0,24.81,75.19,1,62.56,0,0
ST0594,Praveen Naidu,JNTUK,40,28,36.6,70.0,24.49,75.51,1,62.65,0,0
ST0596,Praveen Patel,VVIT,40,30,39.08,75.0,23.14,76.86,1,65.56,0,0
ST0597,Divya Kumar,SRM AP,40,31,40.0,77.5,22.24,77.76,1,67.08,0,0
ST0599,Nikhil Naidu,KL University,40,30,39.6,75.0,23.51,76.49,1,65.45,0,0
ST0614,Rahul Kumar,VNR VJIET,40,24,31.2,60.0,26.09,73.91,1,57.17,0,0
ST0615,Anil Kumar,VNR VJIET,40,27,35.7,67.5,25.39,74.61,1,61.13,0,0
ST0616,Varun Singh,Andhra Loyola,40,25,31.92,62.5,25.21,74.79,1,58.69,0,0
ST0618,Arjun Gupta,ANITS,40,26,34.12,65.0,25.59,74.41,1,59.82,0,0
ST0619,Harsha Gupta,VVIT,40,20,26.32,50.0,26.84,73.16,1,51.95,0,0
ST0620,Divya Verma,AEC,40,29,38.67,72.5,24.5,75.5,1,63.9,0,0
ST0627,Harsha Rao,Malla Reddy,40,26,34.25,65.0,25.83,74.17,1,59.75,0,0
ST0630,Rohit Singh,ANITS,40,28,37.75,70.0,25.22,74.78,1,62.43,0,0
ST0631,Praveen Gupta,KITS,40,24,31.08,60.0,26.0,74.0,1,57.2,0,0
ST0632,Sanjay Yadav,Malla Reddy,40,31,40.58,77.5,22.6,77.4,1,66.97,0,0
ST0633,Divya Gupta,Aditya Engineering,40,31,40.28,77.5,22.37,77.63,1,67.04,0,0
ST0639,Akhil Yadav,CMR College,40,29,38.78,72.5,24.54,75.46,1,63.89,0,0
ST0641,Jay Sharma,SRM AP,40,26,33.85,65.0,25.41,74.59,1,59.88,0,0
ST0643,Arjun Yadav,Bapatla Engg,40,28,37.52,70.0,25.19,74.81,1,62.44,0,0
ST0644,Kiran Naidu,Prasad V Potluri,40,29,39.55,72.5,24.99,75.01,1,63.75,0,0
ST0652,Sai Sharma,Prasad V Potluri,40,25,33.58,62.5,26.52,73.48,1,58.29,0,0
ST0658,Praveen Kumar,VIT AP,40,24,31.65,60.0,26.32,73.68,1,57.11,0,0
ST0660,Rahul Sharma,ANITS,40,30,39.48,75.0,23.54,76.46,1,65.44,0,0
